,Player,POS,Team_x,FPTS,Value,Value Rank,Team_y,Bye,Yahoo,Fantrax,FFC,Sleeper,Average ADP,ADP Rank,Diff in ADP and Value
142,Michael Gallup,WR,DAL,124.97,0.5714669357947582,143.0,DAL,9.0,207.0,179.0,127.0,130.0,160.8,155.0,12.0
201,Christian Watson,WR,GB,90.19000000000001,0.49614283424799344,202.0,GB,14.0,185.0,160.0,172.0,129.0,161.5,156.0,-46.0
205,Khalil Herbert,RB,CHI,79.36,0.49285092411714004,206.0,CHI,14.0,197.0,140.0,,150.0,162.3,158.0,-48.0
174,Mark Ingram II,RB,NO,95.52000000000001,0.5278491265609502,175.0,NO,14.0,159.0,191.0,123.0,178.0,162.8,160.5,-14.5
148,DJ Chark Jr.,WR,DET,116.82000000000001,0.5538162334484058,149.0,DET,6.0,179.0,139.0,184.0,149.0,162.8,160.5,11.5
110,Irv Smith Jr.,TE,MIN,107.7,0.6141751382818827,111.0,MIN,7.0,210.0,129.0,174.0,144.0,164.3,162.5,51.5
147,Jamaal Williams,RB,DET,108.24000000000001,0.5553972166033552,148.0,DET,6.0,188.0,148.0,144.0,177.0,164.3,162.5,14.5
143,Trevor Lawrence,QB,JAC,261.224,0.5657407447513524,144.0,JAC,11.0,199.0,128.0,163.0,171.0,165.3,164.0,20.0
119,Mecole Hardman,WR,KC,136.89000000000001,0.5972824415577664,120.0,KC,8.0,153.0,154.0,182.0,173.0,165.5,165.0,45.0
173,Rondale Moore,WR,ARI,105.7,0.5297333119647939,174.0,ARI,13.0,195.0,117.0,219.0,138.0,167.3,167.5,-6.5
184,Gus Edwards,RB,BAL,91.64999999999999,0.5194677501093693,185.0,BAL,10.0,212.0,155.0,117.0,185.0,167.3,167.5,-17.5
209,Jameson Williams,WR,DET,86.57000000000001,0.4883028903837241,210.0,DET,6.0,202.0,142.0,191.0,135.0,167.5,169.0,-41.0
160,Matt Ryan,QB,IND,250.13400000000001,0.5417227951782179,161.0,IND,14.0,191.0,162.0,151.0,174.0,169.5,170.0,9.0
90,Hunter Henry,TE,NE,124.51,0.6505810654527026,91.0,NE,10.0,146.0,238.0,168.0,127.0,169.8,171.0,80.0
169,Mac Jones,QB,NE,246.27799999999996,0.5333717389515265,170.0,NE,10.0,142.0,165.0,192.0,182.0,170.3,172.5,2.5
208,Brian Robinson Jr.,RB,WAS,77.72999999999999,0.4893207836478696,209.0,WAS,14.0,168.0,178.0,165.0,181.0,173.0,174.5,-34.5
204,Darrel Williams,RB,ARI,79.55999999999999,0.49328407018698917,205.0,ARI,13.0,183.0,168.0,149.0,193.0,173.3,176.0,-29.0
236,Sony Michel,RB,MIA,64.78,0.4612745756251381,237.0,MIA,11.0,155.0,164.0,161.0,221.0,175.3,177.0,-60.0
157,Jahan Dotson,WR,WAS,112.38,0.5442003906977549,158.0,WAS,14.0,198.0,158.0,205.0,143.0,176.0,178.5,20.5
139,Jalen Tolbert,WR,DAL,125.27,0.5721166548995317,140.0,DAL,9.0,165.0,166.0,222.0,151.0,176.0,178.5,38.5
138,Ryan Tannehill,QB,TEN,264.55600000000004,0.5729569582750391,139.0,TEN,6.0,147.0,133.0,226.0,206.0,178.0,181.0,42.0
97,Noah Fant,TE,SEA,117.71000000000001,0.635854099077832,98.0,SEA,11.0,205.0,195.0,140.0,175.0,178.8,182.0,84.0
170,Jameis Winston,QB,NO,245.474,0.531630491750733,171.0,NO,14.0,177.0,181.0,179.0,179.0,179.0,183.0,12.0
108,David Njoku,TE,CLE,111.23,0.6218201664147199,109.0,CLE,9.0,190.0,151.0,207.0,172.0,180.0,184.0,75.0
162,Van Jefferson,WR,LAR,110.32000000000001,0.5397389861783088,163.0,LAR,7.0,,150.0,209.0,192.0,183.7,185.0,22.0
240,D'Onta Foreman,RB,CAR,64.0,0.45958530595272645,241.0,CAR,13.0,204.0,174.0,160.0,203.0,185.3,186.0,-55.0
212,Sammy Watkins,WR,GB,85.54,0.4860721881240011,213.0,GB,14.0,158.0,182.0,213.0,189.0,185.5,187.0,-26.0
178,Joshua Palmer,WR,LAC,103.92999999999999,0.5258999692466291,179.0,LAC,8.0,,163.0,,211.0,187.0,188.5,9.5
116,Robert Tonyan,TE,GB,101.71,0.6012024134899011,117.0,GB,14.0,209.0,176.0,159.0,204.0,187.0,188.5,71.5
284,Tyrion Davis-Price,RB,SF,49.010000000000005,0.4271210080175337,285.0,SF,9.0,,231.0,155.0,180.0,188.7,191.0,-94.0
158,Corey Davis,WR,NYJ,112.28,0.5439838176628304,159.0,NYJ,10.0,,149.0,,230.0,189.5,192.0,33.0
261,Romeo Doubs,WR,GB,64.75000000000001,0.44104665416318345,262.0,GB,14.0,201.0,189.0,169.0,201.0,190.0,194.0,-68.0
183,Carson Wentz,QB,WAS,241.13,0.5222225591136098,184.0,WAS,14.0,139.0,209.0,,225.0,191.0,195.0,11.0
118,Evan Engram,TE,JAC,100.75000000000001,0.5991233123546253,119.0,JAC,11.0,180.0,161.0,212.0,215.0,192.0,196.5,77.5
245,Isiah Pacheco,RB,KC,63.18000000000001,0.457809407066345,246.0,KC,8.0,182.0,194.0,,200.0,192.0,196.5,-49.5
177,Cameron Brate,TE,TB,67.29,0.526657974868865,178.0,TB,11.0,143.0,204.0,210.0,214.0,192.8,198.0,20.0
